,phage,host
2796,pg 2021 74,staphylococcus auricularis
2797,pg 2021 76,staphylococcus auricularis
2798,pg 2021 8,staphylococcus auricularis
2799,pg 2021 84,staphylococcus auricularis
2800,pg 2021 86,staphylococcus auricularis
2801,pg 2021 87,staphylococcus auricularis
2802,pg 2021 88,staphylococcus auricularis
2803,pg 2021 89,staphylococcus auricularis
2804,pg 2021 9,staphylococcus auricularis
2805,pg 2021 90,staphylococcus auricularis
2806,pg 2021 93,staphylococcus auricularis
2807,nc 019915,staphylococcus capitis
2808,pg 2021 1,staphylococcus capitis
2809,pg 2021 10,staphylococcus capitis
2810,pg 2021 12,staphylococcus capitis
2811,pg 2021 14,staphylococcus capitis
2812,pg 2021 15,staphylococcus capitis
2813,pg 2021 16,staphylococcus capitis
2814,pg 2021 17,staphylococcus capitis
2815,pg 2021 18,staphylococcus capitis
2816,pg 2021 19,staphylococcus capitis
2817,pg 2021 2,staphylococcus capitis
2818,pg 2021 22,staphylococcus capitis
2819,pg 2021 23,staphylococcus capitis
2820,pg 2021 27,staphylococcus capitis
2821,pg 2021 29,staphylococcus capitis
2822,pg 2021 31,staphylococcus capitis
2823,pg 2021 33,staphylococcus capitis
2824,pg 2021 35,staphylococcus capitis
2825,pg 2021 38,staphylococcus capitis
2826,pg 2021 4,staphylococcus capitis
2827,pg 2021 40,staphylococcus capitis
2828,pg 2021 41,staphylococcus capitis
2829,pg 2021 43,staphylococcus capitis
2830,pg 2021 46,staphylococcus capitis
2831,pg 2021 47,staphylococcus capitis
2832,pg 2021 5,staphylococcus capitis
2833,pg 2021 64,staphylococcus capitis
2834,pg 2021 67,staphylococcus capitis
2835,pg 2021 68,staphylococcus capitis
2836,pg 2021 74,staphylococcus capitis
2837,pg 2021 76,staphylococcus capitis
2838,pg 2021 8,staphylococcus capitis
2839,pg 2021 84,staphylococcus capitis
2840,pg 2021 86,staphylococcus capitis
2841,pg 2021 87,staphylococcus capitis
2842,pg 2021 88,staphylococcus capitis
2843,pg 2021 89,staphylococcus capitis
2844,pg 2021 9,staphylococcus capitis
2845,pg 2021 90,staphylococcus capitis
2846,pg 2021 93,staphylococcus capitis
2847,pg 2021 1,staphylococcus caprae
2848,pg 2021 10,staphylococcus caprae
2849,pg 2021 12,staphylococcus caprae
2850,pg 2021 14,staphylococcus caprae
2851,pg 2021 15,staphylococcus caprae
2852,pg 2021 16,staphylococcus caprae
2853,pg 2021 17,staphylococcus caprae
2854,pg 2021 18,staphylococcus caprae
2855,pg 2021 19,staphylococcus caprae
2856,pg 2021 2,staphylococcus caprae
2857,pg 2021 22,staphylococcus caprae
2858,pg 2021 23,staphylococcus caprae
2859,pg 2021 27,staphylococcus caprae
2860,pg 2021 29,staphylococcus caprae
2861,pg 2021 31,staphylococcus caprae
2862,pg 2021 33,staphylococcus caprae
2863,pg 2021 35,staphylococcus caprae
2864,pg 2021 38,staphylococcus caprae
2865,pg 2021 4,staphylococcus caprae
2866,pg 2021 40,staphylococcus caprae
2867,pg 2021 41,staphylococcus caprae
2868,pg 2021 43,staphylococcus caprae
2869,pg 2021 46,staphylococcus caprae
2870,pg 2021 47,staphylococcus caprae
2871,pg 2021 5,staphylococcus caprae
2872,pg 2021 64,staphylococcus caprae
2873,pg 2021 67,staphylococcus caprae
2874,pg 2021 68,staphylococcus caprae
2875,pg 2021 74,staphylococcus caprae
2876,pg 2021 76,staphylococcus caprae
2877,pg 2021 8,staphylococcus caprae
2878,pg 2021 84,staphylococcus caprae
2879,pg 2021 86,staphylococcus caprae
2880,pg 2021 87,staphylococcus caprae
2881,pg 2021 88,staphylococcus caprae
2882,pg 2021 89,staphylococcus caprae
2883,pg 2021 9,staphylococcus caprae
2884,pg 2021 90,staphylococcus caprae
2885,pg 2021 93,staphylococcus caprae
2886,nc 015252,staphylococcus carnosus
2887,nc 015253,staphylococcus carnosus
2888,nc 015254,staphylococcus carnosus
2889,pg 2021 1,staphylococcus chromogenes
2890,pg 2021 10,staphylococcus chromogenes
2891,pg 2021 12,staphylococcus chromogenes
2892,pg 2021 14,staphylococcus chromogenes
2893,pg 2021 15,staphylococcus chromogenes
2894,pg 2021 16,staphylococcus chromogenes
2895,pg 2021 17,staphylococcus chromogenes
2896,pg 2021 18,staphylococcus chromogenes
2897,pg 2021 19,staphylococcus chromogenes
2898,pg 2021 2,staphylococcus chromogenes
2899,pg 2021 22,staphylococcus chromogenes
2900,pg 2021 23,staphylococcus chromogenes
2901,pg 2021 27,staphylococcus chromogenes
2902,pg 2021 29,staphylococcus chromogenes
2903,pg 2021 31,staphylococcus chromogenes
2904,pg 2021 33,staphylococcus chromogenes
2905,pg 2021 35,staphylococcus chromogenes
2906,pg 2021 38,staphylococcus chromogenes
2907,pg 2021 4,staphylococcus chromogenes
2908,pg 2021 40,staphylococcus chromogenes
2909,pg 2021 41,staphylococcus chromogenes
2910,pg 2021 43,staphylococcus chromogenes
2911,pg 2021 46,staphylococcus chromogenes
2912,pg 2021 47,staphylococcus chromogenes
2913,pg 2021 5,staphylococcus chromogenes
2914,pg 2021 64,staphylococcus chromogenes
2915,pg 2021 67,staphylococcus chromogenes
2916,pg 2021 68,staphylococcus chromogenes
2917,pg 2021 74,staphylococcus chromogenes
2918,pg 2021 76,staphylococcus chromogenes
2919,pg 2021 8,staphylococcus chromogenes
2920,pg 2021 84,staphylococcus chromogenes
2921,pg 2021 86,staphylococcus chromogenes
2922,pg 2021 87,staphylococcus chromogenes
2923,pg 2021 88,staphylococcus chromogenes
2924,pg 2021 89,staphylococcus chromogenes
2925,pg 2021 9,staphylococcus chromogenes
2926,pg 2021 90,staphylococcus chromogenes
2927,pg 2021 93,staphylococcus chromogenes
2928,nc 029010,staphylococcus cohnii
2929,pg 2021 1,staphylococcus cohnii
2930,pg 2021 10,staphylococcus cohnii
2931,pg 2021 12,staphylococcus cohnii
2932,pg 2021 14,staphylococcus cohnii
2933,pg 2021 15,staphylococcus cohnii
2934,pg 2021 16,staphylococcus cohnii
2935,pg 2021 17,staphylococcus cohnii
2936,pg 2021 18,staphylococcus cohnii
2937,pg 2021 19,staphylococcus cohnii
2938,pg 2021 2,staphylococcus cohnii
2939,pg 2021 22,staphylococcus cohnii
2940,pg 2021 23,staphylococcus cohnii
2941,pg 2021 27,staphylococcus cohnii
2942,pg 2021 29,staphylococcus cohnii
2943,pg 2021 31,staphylococcus cohnii
2944,pg 2021 33,staphylococcus cohnii
2945,pg 2021 35,staphylococcus cohnii
2946,pg 2021 38,staphylococcus cohnii
2947,pg 2021 4,staphylococcus cohnii
2948,pg 2021 40,staphylococcus cohnii
2949,pg 2021 41,staphylococcus cohnii
2950,pg 2021 43,staphylococcus cohnii
2951,pg 2021 46,staphylococcus cohnii
2952,pg 2021 47,staphylococcus cohnii
2953,pg 2021 5,staphylococcus cohnii
2954,pg 2021 64,staphylococcus cohnii
2955,pg 2021 67,staphylococcus cohnii
2956,pg 2021 68,staphylococcus cohnii
2957,pg 2021 74,staphylococcus cohnii
2958,pg 2021 76,staphylococcus cohnii
2959,pg 2021 8,staphylococcus cohnii
2960,pg 2021 84,staphylococcus cohnii
2961,pg 2021 86,staphylococcus cohnii
2962,pg 2021 87,staphylococcus cohnii
2963,pg 2021 88,staphylococcus cohnii
2964,pg 2021 89,staphylococcus cohnii
2965,pg 2021 9,staphylococcus cohnii
2966,pg 2021 90,staphylococcus cohnii
2967,pg 2021 93,staphylococcus cohnii
2968,nc 008722,staphylococcus epidermidis
2969,nc 008723,staphylococcus epidermidis
2970,nc 016073,staphylococcus epidermidis
2971,nc 016563,staphylococcus epidermidis
2972,nc 018281,staphylococcus epidermidis
2973,nc 018284,staphylococcus epidermidis
2974,nc 018856,staphylococcus epidermidis
2975,nc 021783,staphylococcus epidermidis
2976,nc 021801,staphylococcus epidermidis
2977,nc 022090,staphylococcus epidermidis
2978,nc 023007,staphylococcus epidermidis
2979,nc 023582,staphylococcus epidermidis
2980,nc 025423,staphylococcus epidermidis
2981,nc 028821,staphylococcus epidermidis
2982,nc 029119,staphylococcus epidermidis
2983,nc 031008,staphylococcus epidermidis
2984,nc 031053,staphylococcus epidermidis
2985,nc 031095,staphylococcus epidermidis
2986,nc 031241,staphylococcus epidermidis
2987,nc 041928,staphylococcus epidermidis
2988,pg 2021 1,staphylococcus epidermidis
2989,pg 2021 10,staphylococcus epidermidis
2990,pg 2021 12,staphylococcus epidermidis
2991,pg 2021 14,staphylococcus epidermidis
2992,pg 2021 15,staphylococcus epidermidis
2993,pg 2021 16,staphylococcus epidermidis
2994,pg 2021 17,staphylococcus epidermidis
2995,pg 2021 18,staphylococcus epidermidis
2996,pg 2021 19,staphylococcus epidermidis
2997,pg 2021 2,staphylococcus epidermidis
2998,pg 2021 22,staphylococcus epidermidis
2999,pg 2021 23,staphylococcus epidermidis
3000,pg 2021 27,staphylococcus epidermidis
3001,pg 2021 29,staphylococcus epidermidis
3002,pg 2021 31,staphylococcus epidermidis
3003,pg 2021 33,staphylococcus epidermidis
3004,pg 2021 35,staphylococcus epidermidis
3005,pg 2021 38,staphylococcus epidermidis
3006,pg 2021 4,staphylococcus epidermidis
3007,pg 2021 40,staphylococcus epidermidis
3008,pg 2021 41,staphylococcus epidermidis
3009,pg 2021 43,staphylococcus epidermidis
3010,pg 2021 46,staphylococcus epidermidis
3011,pg 2021 47,staphylococcus epidermidis
3012,pg 2021 5,staphylococcus epidermidis
3013,pg 2021 64,staphylococcus epidermidis
3014,pg 2021 67,staphylococcus epidermidis
3015,pg 2021 68,staphylococcus epidermidis
3016,pg 2021 74,staphylococcus epidermidis
3017,pg 2021 76,staphylococcus epidermidis
3018,pg 2021 8,staphylococcus epidermidis
3019,pg 2021 84,staphylococcus epidermidis
3020,pg 2021 86,staphylococcus epidermidis
3021,pg 2021 87,staphylococcus epidermidis
3022,pg 2021 88,staphylococcus epidermidis
3023,pg 2021 89,staphylococcus epidermidis
3024,pg 2021 9,staphylococcus epidermidis
3025,pg 2021 90,staphylococcus epidermidis
3026,pg 2021 93,staphylococcus epidermidis
3027,pg 2021 1,staphylococcus equorum
3028,pg 2021 10,staphylococcus equorum
3029,pg 2021 12,staphylococcus equorum
3030,pg 2021 14,staphylococcus equorum
3031,pg 2021 15,staphylococcus equorum
3032,pg 2021 16,staphylococcus equorum
3033,pg 2021 17,staphylococcus equorum
3034,pg 2021 18,staphylococcus equorum
3035,pg 2021 19,staphylococcus equorum
3036,pg 2021 2,staphylococcus equorum
3037,pg 2021 22,staphylococcus equorum
3038,pg 2021 23,staphylococcus equorum
3039,pg 2021 27,staphylococcus equorum
3040,pg 2021 29,staphylococcus equorum
3041,pg 2021 31,staphylococcus equorum
3042,pg 2021 33,staphylococcus equorum
3043,pg 2021 35,staphylococcus equorum
3044,pg 2021 38,staphylococcus equorum
3045,pg 2021 4,staphylococcus equorum
3046,pg 2021 40,staphylococcus equorum
3047,pg 2021 41,staphylococcus equorum
3048,pg 2021 43,staphylococcus equorum
3049,pg 2021 46,staphylococcus equorum
3050,pg 2021 47,staphylococcus equorum
3051,pg 2021 5,staphylococcus equorum
3052,pg 2021 64,staphylococcus equorum
3053,pg 2021 67,staphylococcus equorum
3054,pg 2021 68,staphylococcus equorum
3055,pg 2021 74,staphylococcus equorum
3056,pg 2021 76,staphylococcus equorum
3057,pg 2021 8,staphylococcus equorum
3058,pg 2021 84,staphylococcus equorum
3059,pg 2021 86,staphylococcus equorum
3060,pg 2021 87,staphylococcus equorum
3061,pg 2021 88,staphylococcus equorum
3062,pg 2021 89,staphylococcus equorum
3063,pg 2021 9,staphylococcus equorum
3064,pg 2021 90,staphylococcus equorum
3065,pg 2021 93,staphylococcus equorum
3066,pg 2021 1,staphylococcus fleuretti
3067,pg 2021 10,staphylococcus fleuretti
3068,pg 2021 12,staphylococcus fleuretti
3069,pg 2021 14,staphylococcus fleuretti
3070,pg 2021 15,staphylococcus fleuretti
3071,pg 2021 16,staphylococcus fleuretti
3072,pg 2021 17,staphylococcus fleuretti
3073,pg 2021 18,staphylococcus fleuretti
3074,pg 2021 19,staphylococcus fleuretti
3075,pg 2021 2,staphylococcus fleuretti
3076,pg 2021 22,staphylococcus fleuretti
3077,pg 2021 23,staphylococcus fleuretti
3078,pg 2021 27,staphylococcus fleuretti
3079,pg 2021 29,staphylococcus fleuretti
3080,pg 2021 31,staphylococcus fleuretti
3081,pg 2021 33,staphylococcus fleuretti
3082,pg 2021 35,staphylococcus fleuretti
3083,pg 2021 38,staphylococcus fleuretti
3084,pg 2021 4,staphylococcus fleuretti
3085,pg 2021 40,staphylococcus fleuretti
3086,pg 2021 41,staphylococcus fleuretti
3087,pg 2021 43,staphylococcus fleuretti
3088,pg 2021 46,staphylococcus fleuretti
3089,pg 2021 47,staphylococcus fleuretti
3090,pg 2021 5,staphylococcus fleuretti
3091,pg 2021 64,staphylococcus fleuretti
3092,pg 2021 67,staphylococcus fleuretti
3093,pg 2021 68,staphylococcus fleuretti
3094,pg 2021 74,staphylococcus fleuretti
3095,pg 2021 76,staphylococcus fleuretti
3096,pg 2021 8,staphylococcus fleuretti
3097,pg 2021 84,staphylococcus fleuretti
3098,pg 2021 86,staphylococcus fleuretti
3099,pg 2021 87,staphylococcus fleuretti
3100,pg 2021 88,staphylococcus fleuretti
3101,pg 2021 89,staphylococcus fleuretti
3102,pg 2021 9,staphylococcus fleuretti
3103,pg 2021 90,staphylococcus fleuretti
3104,pg 2021 93,staphylococcus fleuretti
3105,nc 022090,staphylococcus haemolyticus
3106,nc 023582,staphylococcus haemolyticus
3107,nc 029025,staphylococcus haemolyticus
3108,pg 2021 1,staphylococcus haemolyticus
3109,pg 2021 10,staphylococcus haemolyticus
3110,pg 2021 12,staphylococcus haemolyticus
3111,pg 2021 14,staphylococcus haemolyticus
3112,pg 2021 15,staphylococcus haemolyticus
3113,pg 2021 16,staphylococcus haemolyticus
3114,pg 2021 17,staphylococcus haemolyticus
3115,pg 2021 18,staphylococcus haemolyticus
3116,pg 2021 19,staphylococcus haemolyticus
3117,pg 2021 2,staphylococcus haemolyticus
3118,pg 2021 22,staphylococcus haemolyticus
3119,pg 2021 23,staphylococcus haemolyticus
3120,pg 2021 27,staphylococcus haemolyticus
3121,pg 2021 29,staphylococcus haemolyticus
3122,pg 2021 31,staphylococcus haemolyticus
3123,pg 2021 33,staphylococcus haemolyticus
3124,pg 2021 35,staphylococcus haemolyticus
3125,pg 2021 38,staphylococcus haemolyticus
3126,pg 2021 4,staphylococcus haemolyticus
3127,pg 2021 40,staphylococcus haemolyticus
3128,pg 2021 41,staphylococcus haemolyticus
3129,pg 2021 43,staphylococcus haemolyticus
3130,pg 2021 46,staphylococcus haemolyticus
3131,pg 2021 47,staphylococcus haemolyticus
3132,pg 2021 5,staphylococcus haemolyticus
3133,pg 2021 64,staphylococcus haemolyticus
3134,pg 2021 67,staphylococcus haemolyticus
3135,pg 2021 68,staphylococcus haemolyticus
3136,pg 2021 74,staphylococcus haemolyticus
3137,pg 2021 76,staphylococcus haemolyticus
3138,pg 2021 8,staphylococcus haemolyticus
3139,pg 2021 84,staphylococcus haemolyticus
3140,pg 2021 86,staphylococcus haemolyticus
3141,pg 2021 87,staphylococcus haemolyticus
3142,pg 2021 88,staphylococcus haemolyticus
3143,pg 2021 89,staphylococcus haemolyticus
3144,pg 2021 9,staphylococcus haemolyticus
3145,pg 2021 90,staphylococcus haemolyticus
3146,pg 2021 93,staphylococcus haemolyticus
3147,nc 019914,staphylococcus hominis
3148,nc 020490,staphylococcus hominis
3149,pg 2021 1,staphylococcus hominis
3150,pg 2021 10,staphylococcus hominis
3151,pg 2021 12,staphylococcus hominis
3152,pg 2021 14,staphylococcus hominis
3153,pg 2021 15,staphylococcus hominis
3154,pg 2021 16,staphylococcus hominis
3155,pg 2021 17,staphylococcus hominis
3156,pg 2021 18,staphylococcus hominis
3157,pg 2021 19,staphylococcus hominis
3158,pg 2021 2,staphylococcus hominis
3159,pg 2021 22,staphylococcus hominis
3160,pg 2021 23,staphylococcus hominis
3161,pg 2021 27,staphylococcus hominis
3162,pg 2021 29,staphylococcus hominis
3163,pg 2021 31,staphylococcus hominis
3164,pg 2021 33,staphylococcus hominis
3165,pg 2021 35,staphylococcus hominis
3166,pg 2021 38,staphylococcus hominis
3167,pg 2021 4,staphylococcus hominis
3168,pg 2021 40,staphylococcus hominis
3169,pg 2021 41,staphylococcus hominis
3170,pg 2021 43,staphylococcus hominis
3171,pg 2021 46,staphylococcus hominis
3172,pg 2021 47,staphylococcus hominis
3173,pg 2021 5,staphylococcus hominis
3174,pg 2021 64,staphylococcus hominis
3175,pg 2021 67,staphylococcus hominis
3176,pg 2021 68,staphylococcus hominis
3177,pg 2021 74,staphylococcus hominis
3178,pg 2021 76,staphylococcus hominis
3179,pg 2021 8,staphylococcus hominis
3180,pg 2021 84,staphylococcus hominis
3181,pg 2021 86,staphylococcus hominis
3182,pg 2021 87,staphylococcus hominis
3183,pg 2021 88,staphylococcus hominis
3184,pg 2021 89,staphylococcus hominis
3185,pg 2021 9,staphylococcus hominis
3186,pg 2021 90,staphylococcus hominis
3187,pg 2021 93,staphylococcus hominis
3188,pg 2021 1,staphylococcus hyicus
3189,pg 2021 10,staphylococcus hyicus
3190,pg 2021 12,staphylococcus hyicus
3191,pg 2021 14,staphylococcus hyicus
3192,pg 2021 15,staphylococcus hyicus
3193,pg 2021 16,staphylococcus hyicus
3194,pg 2021 17,staphylococcus hyicus
3195,pg 2021 18,staphylococcus hyicus
3196,pg 2021 19,staphylococcus hyicus
3197,pg 2021 2,staphylococcus hyicus
3198,pg 2021 22,staphylococcus hyicus
3199,pg 2021 23,staphylococcus hyicus
3200,pg 2021 27,staphylococcus hyicus
3201,pg 2021 29,staphylococcus hyicus
3202,pg 2021 31,staphylococcus hyicus
3203,pg 2021 33,staphylococcus hyicus
3204,pg 2021 35,staphylococcus hyicus
3205,pg 2021 38,staphylococcus hyicus
3206,pg 2021 4,staphylococcus hyicus
3207,pg 2021 40,staphylococcus hyicus
3208,pg 2021 41,staphylococcus hyicus
3209,pg 2021 43,staphylococcus hyicus
3210,pg 2021 46,staphylococcus hyicus
3211,pg 2021 47,staphylococcus hyicus
3212,pg 2021 5,staphylococcus hyicus
3213,pg 2021 64,staphylococcus hyicus
3214,pg 2021 67,staphylococcus hyicus
3215,pg 2021 68,staphylococcus hyicus
3216,pg 2021 74,staphylococcus hyicus
3217,pg 2021 76,staphylococcus hyicus
3218,pg 2021 8,staphylococcus hyicus
3219,pg 2021 84,staphylococcus hyicus
3220,pg 2021 86,staphylococcus hyicus
3221,pg 2021 87,staphylococcus hyicus
3222,pg 2021 88,staphylococcus hyicus
3223,pg 2021 89,staphylococcus hyicus
3224,pg 2021 9,staphylococcus hyicus
3225,pg 2021 90,staphylococcus hyicus
3226,pg 2021 93,staphylococcus hyicus
3227,nc 023582,staphylococcus intermedius
3228,nc 029010,staphylococcus intermedius
3229,pg 2021 1,staphylococcus kloosii
3230,pg 2021 10,staphylococcus kloosii
3231,pg 2021 12,staphylococcus kloosii
3232,pg 2021 14,staphylococcus kloosii
3233,pg 2021 15,staphylococcus kloosii
3234,pg 2021 16,staphylococcus kloosii
3235,pg 2021 17,staphylococcus kloosii
3236,pg 2021 18,staphylococcus kloosii
3237,pg 2021 19,staphylococcus kloosii
3238,pg 2021 2,staphylococcus kloosii
3239,pg 2021 22,staphylococcus kloosii
3240,pg 2021 23,staphylococcus kloosii
3241,pg 2021 27,staphylococcus kloosii
3242,pg 2021 29,staphylococcus kloosii
3243,pg 2021 31,staphylococcus kloosii
3244,pg 2021 33,staphylococcus kloosii
3245,pg 2021 35,staphylococcus kloosii
3246,pg 2021 38,staphylococcus kloosii
3247,pg 2021 4,staphylococcus kloosii
3248,pg 2021 40,staphylococcus kloosii
3249,pg 2021 41,staphylococcus kloosii
3250,pg 2021 43,staphylococcus kloosii
3251,pg 2021 46,staphylococcus kloosii
3252,pg 2021 47,staphylococcus kloosii
3253,pg 2021 5,staphylococcus kloosii
3254,pg 2021 64,staphylococcus kloosii
3255,pg 2021 67,staphylococcus kloosii
3256,pg 2021 68,staphylococcus kloosii
3257,pg 2021 74,staphylococcus kloosii
3258,pg 2021 76,staphylococcus kloosii
3259,pg 2021 8,staphylococcus kloosii
3260,pg 2021 84,staphylococcus kloosii
3261,pg 2021 86,staphylococcus kloosii
3262,pg 2021 87,staphylococcus kloosii
3263,pg 2021 88,staphylococcus kloosii
3264,pg 2021 89,staphylococcus kloosii
3265,pg 2021 9,staphylococcus kloosii
3266,pg 2021 90,staphylococcus kloosii
3267,pg 2021 93,staphylococcus kloosii
3268,pg 2021 1,staphylococcus lentus
3269,pg 2021 10,staphylococcus lentus
3270,pg 2021 12,staphylococcus lentus
3271,pg 2021 14,staphylococcus lentus
3272,pg 2021 15,staphylococcus lentus
3273,pg 2021 16,staphylococcus lentus
3274,pg 2021 17,staphylococcus lentus
3275,pg 2021 18,staphylococcus lentus
3276,pg 2021 19,staphylococcus lentus
3277,pg 2021 2,staphylococcus lentus
3278,pg 2021 22,staphylococcus lentus
3279,pg 2021 23,staphylococcus lentus
3280,pg 2021 27,staphylococcus lentus
3281,pg 2021 29,staphylococcus lentus
3282,pg 2021 31,staphylococcus lentus
3283,pg 2021 33,staphylococcus lentus
3284,pg 2021 35,staphylococcus lentus
3285,pg 2021 38,staphylococcus lentus
3286,pg 2021 4,staphylococcus lentus
3287,pg 2021 40,staphylococcus lentus
3288,pg 2021 41,staphylococcus lentus
3289,pg 2021 43,staphylococcus lentus
3290,pg 2021 46,staphylococcus lentus
3291,pg 2021 47,staphylococcus lentus
3292,pg 2021 5,staphylococcus lentus
3293,pg 2021 64,staphylococcus lentus
3294,pg 2021 67,staphylococcus lentus
3295,pg 2021 68,staphylococcus lentus
3296,pg 2021 74,staphylococcus lentus
3297,pg 2021 76,staphylococcus lentus
3298,pg 2021 8,staphylococcus lentus
3299,pg 2021 84,staphylococcus lentus
3300,pg 2021 86,staphylococcus lentus
3301,pg 2021 87,staphylococcus lentus
3302,pg 2021 88,staphylococcus lentus
3303,pg 2021 89,staphylococcus lentus
3304,pg 2021 9,staphylococcus lentus
3305,pg 2021 90,staphylococcus lentus
3306,pg 2021 93,staphylococcus lentus
3307,pg 2021 1,staphylococcus lugdunensis
3308,pg 2021 10,staphylococcus lugdunensis
3309,pg 2021 12,staphylococcus lugdunensis
3310,pg 2021 14,staphylococcus lugdunensis
3311,pg 2021 15,staphylococcus lugdunensis
3312,pg 2021 16,staphylococcus lugdunensis
3313,pg 2021 17,staphylococcus lugdunensis
3314,pg 2021 18,staphylococcus lugdunensis
3315,pg 2021 19,staphylococcus lugdunensis
3316,pg 2021 2,staphylococcus lugdunensis
3317,pg 2021 22,staphylococcus lugdunensis
3318,pg 2021 23,staphylococcus lugdunensis
3319,pg 2021 27,staphylococcus lugdunensis
3320,pg 2021 29,staphylococcus lugdunensis
3321,pg 2021 31,staphylococcus lugdunensis
3322,pg 2021 33,staphylococcus lugdunensis
3323,pg 2021 35,staphylococcus lugdunensis
3324,pg 2021 38,staphylococcus lugdunensis
3325,pg 2021 4,staphylococcus lugdunensis
3326,pg 2021 40,staphylococcus lugdunensis
3327,pg 2021 41,staphylococcus lugdunensis
3328,pg 2021 43,staphylococcus lugdunensis
3329,pg 2021 46,staphylococcus lugdunensis
3330,pg 2021 47,staphylococcus lugdunensis
3331,pg 2021 5,staphylococcus lugdunensis
3332,pg 2021 64,staphylococcus lugdunensis
3333,pg 2021 67,staphylococcus lugdunensis
3334,pg 2021 68,staphylococcus lugdunensis
3335,pg 2021 74,staphylococcus lugdunensis
3336,pg 2021 76,staphylococcus lugdunensis
3337,pg 2021 8,staphylococcus lugdunensis
3338,pg 2021 84,staphylococcus lugdunensis
3339,pg 2021 86,staphylococcus lugdunensis
3340,pg 2021 87,staphylococcus lugdunensis
3341,pg 2021 88,staphylococcus lugdunensis
3342,pg 2021 89,staphylococcus lugdunensis
3343,pg 2021 9,staphylococcus lugdunensis
3344,pg 2021 90,staphylococcus lugdunensis
3345,pg 2021 93,staphylococcus lugdunensis
3346,pg 2021 1,staphylococcus nepalensis
3347,pg 2021 10,staphylococcus nepalensis
3348,pg 2021 12,staphylococcus nepalensis
3349,pg 2021 14,staphylococcus nepalensis
3350,pg 2021 15,staphylococcus nepalensis
3351,pg 2021 16,staphylococcus nepalensis
3352,pg 2021 17,staphylococcus nepalensis
3353,pg 2021 18,staphylococcus nepalensis
3354,pg 2021 19,staphylococcus nepalensis
3355,pg 2021 2,staphylococcus nepalensis
3356,pg 2021 22,staphylococcus nepalensis
3357,pg 2021 23,staphylococcus nepalensis
3358,pg 2021 27,staphylococcus nepalensis
3359,pg 2021 29,staphylococcus nepalensis
3360,pg 2021 31,staphylococcus nepalensis
3361,pg 2021 33,staphylococcus nepalensis
3362,pg 2021 35,staphylococcus nepalensis
3363,pg 2021 38,staphylococcus nepalensis
3364,pg 2021 4,staphylococcus nepalensis
3365,pg 2021 40,staphylococcus nepalensis
3366,pg 2021 41,staphylococcus nepalensis
3367,pg 2021 43,staphylococcus nepalensis
3368,pg 2021 46,staphylococcus nepalensis
3369,pg 2021 47,staphylococcus nepalensis
3370,pg 2021 5,staphylococcus nepalensis
3371,pg 2021 64,staphylococcus nepalensis
3372,pg 2021 67,staphylococcus nepalensis
3373,pg 2021 68,staphylococcus nepalensis
3374,pg 2021 74,staphylococcus nepalensis
3375,pg 2021 76,staphylococcus nepalensis
3376,pg 2021 8,staphylococcus nepalensis
3377,pg 2021 84,staphylococcus nepalensis
3378,pg 2021 86,staphylococcus nepalensis
3379,pg 2021 87,staphylococcus nepalensis
3380,pg 2021 88,staphylococcus nepalensis
3381,pg 2021 89,staphylococcus nepalensis
3382,pg 2021 9,staphylococcus nepalensis
3383,pg 2021 90,staphylococcus nepalensis
3384,pg 2021 93,staphylococcus nepalensis
3385,nc 018277,staphylococcus pasteuri
3386,nc 028758,staphylococcus pasteuri
3387,pg 2021 1,staphylococcus pasteuri
3388,pg 2021 10,staphylococcus pasteuri
3389,pg 2021 12,staphylococcus pasteuri
3390,pg 2021 14,staphylococcus pasteuri
3391,pg 2021 15,staphylococcus pasteuri
3392,pg 2021 16,staphylococcus pasteuri
3393,pg 2021 17,staphylococcus pasteuri
3394,pg 2021 18,staphylococcus pasteuri
3395,pg 2021 19,staphylococcus pasteuri
3396,pg 2021 2,staphylococcus pasteuri
3397,pg 2021 22,staphylococcus pasteuri
3398,pg 2021 23,staphylococcus pasteuri
3399,pg 2021 27,staphylococcus pasteuri
3400,pg 2021 29,staphylococcus pasteuri
3401,pg 2021 31,staphylococcus pasteuri
3402,pg 2021 33,staphylococcus pasteuri
3403,pg 2021 35,staphylococcus pasteuri
3404,pg 2021 38,staphylococcus pasteuri
3405,pg 2021 4,staphylococcus pasteuri
3406,pg 2021 40,staphylococcus pasteuri
3407,pg 2021 41,staphylococcus pasteuri
3408,pg 2021 43,staphylococcus pasteuri
3409,pg 2021 46,staphylococcus pasteuri
3410,pg 2021 47,staphylococcus pasteuri
3411,pg 2021 5,staphylococcus pasteuri
3412,pg 2021 64,staphylococcus pasteuri
3413,pg 2021 67,staphylococcus pasteuri
3414,pg 2021 68,staphylococcus pasteuri
3415,pg 2021 74,staphylococcus pasteuri
3416,pg 2021 76,staphylococcus pasteuri
3417,pg 2021 8,staphylococcus pasteuri
3418,pg 2021 84,staphylococcus pasteuri
3419,pg 2021 86,staphylococcus pasteuri
3420,pg 2021 87,staphylococcus pasteuri
3421,pg 2021 88,staphylococcus pasteuri
3422,pg 2021 89,staphylococcus pasteuri
3423,pg 2021 9,staphylococcus pasteuri
3424,pg 2021 90,staphylococcus pasteuri
3425,pg 2021 93,staphylococcus pasteuri
